Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
31-Jan-14,9895.05,10021.1,9880.55,9957.45,8293385,933.61
03-Feb-14,9897.25,9923.1,9783.5,9792.1,6671209,750.66
04-Feb-14,9686.8,9686.8,9522.45,9611.65,10172931,1046.07
05-Feb-14,9677.9,9729.75,9585.25,9718.45,12385558,1315.9
06-Feb-14,9700.4,9732.3,9599.45,9696.05,9854241,1032.78
07-Feb-14,9754.3,9778.6,9595.45,9648.4,12722603,1101.18
10-Feb-14,9668.4,9677.45,9605.8,9619.25,8768029,1085.54
11-Feb-14,9639.4,9769.05,9639.4,9710.25,10521148,1315
12-Feb-14,9747.75,9786,9725.15,9739.8,10198600,1162.09
13-Feb-14,9752.25,9767,9697.25,9721.35,8423170,910.06
14-Feb-14,9770.05,9870.5,9751.5,9855.45,8817585,980.42
17-Feb-14,9898.1,9931,9841.2,9867.5,6228219,1071.16
18-Feb-14,9859.65,9920.85,9859.65,9884.85,16277543,842.46
19-Feb-14,9912,10065.75,9912,10033.05,14620520,921.95
20-Feb-14,10028.35,10051.8,9962.2,9971.7,15033290,1179.97
21-Feb-14,10010.5,10109.85,10010.5,10101.05,14542983,1073.54
24-Feb-14,10101,10101,10041.65,10067.65,14229505,984.51
25-Feb-14,10099.9,10173.75,10099.9,10162.9,12262675,1186.91
26-Feb-14,10167.1,10212.6,10155.3,10200.85,35244443,1806.3
28-Feb-14,10107.7,10353.25,10107.7,10338.55,24625043,2725.35
03-Mar-14,10339.8,10398.15,10190.75,10209.1,14762061,1332.12
04-Mar-14,10172.8,10251.3,10165.35,10196.55,12303390,1163.95
05-Mar-14,10260.2,10301.7,10215.75,10237.25,13723962,1204.89
06-Mar-14,10272.4,10300.25,10237.9,10254.6,14322247,1178.69
07-Mar-14,10266.05,10272.5,9966,10054.9,19025657,2127.83
10-Mar-14,10033.05,10033.05,9792,9809.55,14520793,1582.28
11-Mar-14,9803.8,9922.65,9746,9828.6,13168206,1149.38
12-Mar-14,9823.8,9921.95,9823.8,9877.6,10834572,908.08
13-Mar-14,9539.3,9637.85,9433.15,9462.7,15395621,2542.95
14-Mar-14,9422.85,9509.4,9395.9,9439.05,11456059,1252.11
18-Mar-14,9451.1,9480.2,9342.55,9364.35,14532611,1319.37
19-Mar-14,9305.25,9305.25,9051.2,9158.95,29858297,2389.36
20-Mar-14,9147.05,9387,9147.05,9313.5,31208125,1900.3
21-Mar-14,9376.95,9451.3,9257.9,9370.75,20588273,1962.17
22-Mar-14,9355.4,9419.7,9342.8,9377.75,1277237,90.23
24-Mar-14,9365.3,9435.7,9339,9365.05,12953518,1076.27
25-Mar-14,9308.5,9366.4,9280.35,9300.6,14726714,1151.67
26-Mar-14,9318.95,9321.8,9209.9,9222.9,12647703,1271.23
27-Mar-14,9234.3,9244.9,9159.95,9217.1,15369362,2012.85
28-Mar-14,9245.7,9323.2,9223.2,9275.35,10390208,1209.97
31-Mar-14,9297.95,9325.05,9184.35,9298,11027529,1250.4
01-Apr-14,9331.5,9458.4,9324.65,9439.75,14348670,1407.95
02-Apr-14,9515.05,9542.65,9463.6,9479.9,16859016,1326.76
03-Apr-14,9505.45,9517,9428.55,9472,11063438,876.35
04-Apr-14,9511.8,9542.05,9373.4,9389.4,9085930,816.97
07-Apr-14,9355.05,9400.05,9296.1,9374.45,7780387,986.66
09-Apr-14,9360.15,9397.6,9208.75,9276.9,13044097,1631.53
10-Apr-14,9277.75,9280.65,9159.9,9179.2,13776590,1874.57
11-Apr-14,9156.45,9350.95,9081.2,9312,15890875,2014.42
15-Apr-14,9452.6,9554.75,9387.05,9491.6,16877121,2213.17
16-Apr-14,9506.8,9506.8,9248.65,9273.15,19792726,1740.28
17-Apr-14,9363.05,9407,9240.5,9390.2,17871890,1951.55
21-Apr-14,9395.55,9417.6,9317.85,9330.25,14401660,1156.98
22-Apr-14,9333.55,9388.45,9267.15,9279.2,12115115,1062.12
23-Apr-14,9318.65,9348.9,9260.45,9272.05,15495721,1486.07
25-Apr-14,9311.5,9334.35,9236.3,9275,11540080,1226.73
28-Apr-14,9271.5,9321.5,9251.85,9261.3,10502305,1117.12
29-Apr-14,9264.5,9312.5,9241.65,9251.6,15778043,994.73
30-Apr-14,9242.9,9294.25,9198.6,9227.95,18379074,1169.58
02-May-14,9219.3,9347.8,9219.3,9319.55,12110843,917.92
05-May-14,9288.7,9358.25,9208.2,9223.55,8065958,772.01
06-May-14,9219.95,9236.25,9154.45,9179.7,8134526,811.49
07-May-14,9153.15,9186.3,8905.35,8946.55,14502692,1851.02
08-May-14,8959,9010.3,8922.8,8963.6,9592045,1119.01
09-May-14,8945.75,9091.65,8945.75,9048.5,9480771,937.85
12-May-14,9049.85,9157.7,8986.8,9132.35,11120481,1204.03
13-May-14,9159.25,9404.75,9159.25,9364.8,10603675,1072.12
14-May-14,9356.2,9384.8,9306.6,9349.65,8205382,825.97
